"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-82,432","52,928","ATTAWAPISKAT A","6010400","ON","-19,0","0","ND","-0,5","0","-37,6","0","","","ND","4,7","0","ND","","2","","","ND","1036,1","0,0"
"-89,897","53,818","BIG TROUT LAKE A","6010735","ON","-20,1","0","ND","-0,4","0","-38,5","0","","","ND","1,8","1","ND","","0","","","ND","1066,6","0,0"
"-89,892","53,816","BIG TROUT LAKE","6010740","ON","-20,3","0","ND","-0,5","0","-39,7","0","","","ND","15,1","0","ND","54,0","5","","","ND","1071,2","0,0"
"-93,221","50,631","EAR FALLS (AUT)","6012199","ON","-16,1","0","ND","3,7","0","-35,1","0","","","ND","27,7","0","ND","60,0","8","","","ND","954,0","0,0"
"-87,676","56,019","FORT SEVERN A","6012501","ON","-21,9","0","ND","-6,2","0","-37,9","0","","","ND","2,2","0","ND","","2","","","ND","1116,2","0,0"
"-87,934","52,196","LANSDOWNE HOUSE A","6014351","ON","-18,6","0","ND","0,0","0","-39,2","0","","","ND","7,1","0","ND","","4","","","ND","1024,2","0,0"
"-87,936","52,196","LANSDOWNE HOUSE (AUT)","6014353","ON","-18,9","0","ND","0,0","0","-40,0","0","","","ND","18,6","0","ND","47,0","5","","","ND","1032,4","0,0"
"-91,763","53,441","MUSKRAT DAM","6015026","ON","-19,8","0","ND","0,1","0","-40,6","0","","","ND","0,1","0","ND","","0","","","ND","1057,9","0,0"
"-85,433","54,983","PEAWANUCK (AUT)","6016295","ON","-21,6","0","ND","-4,5","0","-40,4","0","","","ND","9,3","0","ND","24,0","3","","","ND","1108,5","0,0"
"-85,443","54,988","PEAWANUCK A","6016298","ON","-21,7","0","ND","-4,6","0","-40,0","0","","","ND","0,0","0","ND","","0","","","ND","1110,6","0,0"
"-90,218","51,449","PICKLE LAKE (AUT)","6016525","ON","-16,8","0","ND","1,3","0","-33,0","0","","","ND","18,1","0","ND","32,0","7","","","ND","974,1","0,0"
"-90,214","51,446","PICKLE LAKE A","6016528","ON","-17,0","0","ND","1,1","0","-33,2","0","","","ND","1,0","0","ND","","0","","","ND","980,0","0,0"
"-93,793","51,067","RED LAKE A","6016971","ON","-17,5","0","ND","3,0","0","-38,8","0","","","ND","","","ND","","","","","ND","992,9","0,0"
"-93,344","53,064","SANDY LAKE A","6017401","ON","-18,7","0","ND","0,6","0","-37,5","0","","","ND","0,0","0","ND","","0","","","ND","1028,0","0,0"
"-91,316","52,944","WEAGAMOW LAKE","6019400","ON","-19,1","0","ND","0,4","0","-40,0","0","","","ND","18,6","0","ND","50,0","8","","","ND","1038,6","0,0"
"-93,967","48,633","BARWICK","6020559","ON","-14,5","0","-2,9","6,5","0","-38,5","0","12,8","0","70,0","12,8","0","60,0","19,0","2","","","ND","909,3","0,0"
