"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-99,292","49,276","BALDUR","5010140","MB","21,1","2","4,9","32,5","1","8,0","1","0,0","1","ND","33,6","1","ND","0,0","8","","","ND","6,9","94,6"
"-99,952","49,910","BRANDON A","5010481","MB","19,8","0","ND","33,6","0","5,9","0","0,0","2","ND","132,6","2","ND","","9","","","ND","18,5","71,6"
"-99,950","49,900","BRANDON RCS","5010490","MB","19,9","0","ND","33,1","0","6,0","0","","","ND","126,5","0","ND","","10","","","ND","15,6","73,3"
"-99,357","49,906","CARBERRY CS","5010547","MB","20,1","0","ND","33,6","0","5,5","0","","","ND","75,7","0","ND","","7","","","ND","15,0","78,9"
"-99,074","49,562","CYPRESS RIVER RCS","5010641","MB","20,7","0","ND","34,3","0","4,3","0","","","ND","52,3","0","ND","","7","","","ND","13,7","93,2"
"-101,203","49,927","ELKHORN 2 EAST","5010QFQ","MB","19,5","3","3,6","32,5","3","4,0","3","0,0","3","ND","34,6","3","ND","0,0","6","","","ND","14,3","55,8"
"-98,300","49,983","PORTAGE ROMANCE","5012300","MB","","","ND","","","","","0,0","0","ND","25,5","0","ND","0,0","4","","","ND","",""
"-98,267","49,950","PORTAGE LA PRAIRIE CDA","5012321","MB","","","ND","","","","","0,0","24","ND","43,6","24","ND","","4","","","ND","",""
"-98,284","49,903","PORTAGE SOUTHPORT","5012324","MB","20,6","1","ND","32,3","1","6,8","1","","","ND","35,4","1","ND","","5","","","ND","10,9","86,8"
"-101,363","51,183","ROBLIN","5012469","MB","18,8","0","ND","32,7","0","6,4","0","","","ND","58,0","0","ND","","10","","","ND","23,3","46,2"
"-100,604","50,455","SHOAL LAKE CS","5012654","MB","18,9","0","ND","32,9","0","6,2","0","","","ND","93,3","0","ND","","9","","","ND","24,2","50,9"
"-100,934","49,842","VIRDEN WATER","5012961","MB","21,1","0","ND","33,0","0","5,0","0","0,0","0","ND","75,4","0","ND","0,0","8","","","ND","11,5","104,0"
"-99,942","50,655","WASAGAMING","5013117","MB","17,9","0","4,3","30,7","0","1,9","0","","","ND","80,7","0","101,0","","8","","","ND","42,9","38,6"
"-100,986","49,281","MELITA","501A7AR","MB","20,3","1","ND","33,9","1","6,0","1","","","ND","48,3","1","ND","","6","","","ND","10,8","78,8"
"-101,400","51,267","ROBLIN FRIESEN 3 NORTHWEST","501B4G2","MB","","","ND","","","","","0,0","0","ND","77,1","0","ND","0,0","6","","","ND","",""
"-100,179","50,108","RIVERS PETTAPIECE","501BMMA","MB","","","ND","","","","","0,0","0","ND","103,9","0","131,0","0,0","9","","","ND","",""
"-100,817","50,750","ROSSBURN 4 NORTH","501KE01","MB","","","ND","","","","","0,0","0","ND","46,4","0","51,0","0,0","7","","","ND","",""
"-98,319","49,400","DEERWOOD RCS","5020725","MB","20,6","2","ND","35,3","2","7,0","2","","","ND","32,3","2","ND","","3","","","ND","14,3","87,1"
"-97,238","49,000","EMERSON AUTO","5020881","MB","21,3","0","ND","36,8","0","5,7","0","","","ND","68,2","0","ND","","9","","","ND","7,8","107,8"
