"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-140,869","62,410","BEAVER CREEK A","2100155","YT","-21,6","0","ND","-8,8","0","-41,3","0","","","ND","","","ND","","","","","ND","1228,0","0,0"
"-139,040","61,371","BURWASH A","2100181","YT","-15,3","2","ND","7,5","2","-35,4","2","","","ND","0,8","2","ND","","0","","","ND","964,5","0,0"
"-139,017","61,367","BURWASH AIRPORT AUTO","2100184","YT","-15,3","0","ND","7,2","0","-36,0","0","","","ND","1,9","0","ND","16,0","0","","","ND","1031,0","0,0"
"-136,192","62,115","CARMACKS CS","2100301","YT","-16,2","0","ND","7,5","0","-39,0","0","","","ND","6,0","0","ND","31,0","1","","","ND","1061,3","0,0"
"-139,130","64,042","DAWSON CITY A","2100407","YT","-18,0","0","ND","-1,5","0","-38,8","0","","","ND","","","ND","","","","","ND","1116,7","0,0"
"-133,376","62,208","FARO (AUT)","2100518","YT","-15,2","1","ND","0,6","1","-36,8","1","","","ND","","","ND","","","","","ND","994,9","0,0"
"-133,373","62,207","FARO A","2100527","YT","-15,2","0","ND","0,6","0","-37,0","0","","","ND","","","ND","","","","","ND","1028,8","0,0"
"-137,580","60,773","HAINES JUNCTION","2100630","YT","-13,3","0","ND","8,9","0","-38,4","0","","","ND","","","ND","19,0","","","","ND","969,8","0,0"
"-138,913","69,568","HERSCHEL ISLAND","2100636","YT","-18,4","3","ND","-5,7","3","-31,2","3","","","ND","4,8","3","ND","","1","","","ND","1018,9","0,0"
"-140,150","69,164","IVVAVIK NAT. PARK","2100660","YT","-22,8","0","ND","-6,1","0","-36,9","0","","","ND","5,0","0","ND","15,0","2","","","ND","1264,5","0,0"
"-130,037","63,244","MACMILLAN PASS","2100693","YT","-14,9","0","ND","2,6","0","-33,7","0","","","ND","","","ND","","","","","ND","1020,7","0,0"
"-140,848","68,801","MARGARET LAKE","2100697","YT","-22,9","2","ND","-9,2","2","-38,0","2","","","ND","","","ND","23,0","","","","ND","1186,9","0,0"
"-135,868","63,616","MAYO A","2100701","YT","-14,9","2","ND","3,1","2","-39,9","2","21,8","0","ND","16,1","0","ND","26,0","5","","","ND","954,7","0,0"
"-135,869","63,617","MAYO A","2100702","YT","-15,2","0","ND","3,1","0","-39,9","0","","","ND","","","ND","","","","","ND","1029,4","0,0"
"-139,839","67,571","OLD CROW RCS","2100805","YT","-26,1","0","ND","-8,0","0","-42,0","0","","","ND","12,5","0","ND","27,0","4","","","ND","1365,9","0,0"
"-139,840","67,570","OLD CROW A","2100807","YT","-26,2","0","ND","-8,1","0","-41,9","0","","","ND","","","ND","","","","","ND","1369,6","0,0"
"-137,050","61,033","OTTER FALLS NCPC","2100840","YT","-11,8","5","1,8","7,0","5","-31,0","5","6,4","5","ND","6,4","5","ND","20,0","3","","","ND","775,8","0,0"
"-137,367","62,817","PELLY RANCH FORT SELKIRK","2100881","YT","-18,5","1","ND","1,7","1","-43,0","1","","","ND","40,8","2","ND","50,0","7","","","ND","1095,1","0,0"
"-136,218","66,981","ROCK RIVER","2100935","YT","-17,4","0","ND","1,7","0","-28,8","0","","","ND","","","ND","","","","","ND","1096,3","0,0"
"-139,127","64,061","DAWSON","2100LRP","YT","-18,3","1","ND","-1,4","1","-38,7","1","","","ND","39,4","1","ND","43,0","10","","","ND","1089,6","0,0"
"-132,733","60,167","TESLIN (AUT)","2101102","YT","-11,6","0","ND","5,0","0","-32,2","0","","","ND","32,1","0","ND","47,0","5","","","ND","917,6","0,0"
"-132,742","60,173","TESLIN A","2101106","YT","-11,5","0","ND","5,7","0","-32,4","0","","","ND","","","ND","","","","","ND","914,9","0,0"
"-128,823","60,116","WATSON LAKE A","2101201","YT","-19,0","3","ND","-8,5","3","-41,0","3","","","ND","","","ND","","","","","ND","1035,7","0,0"
"-128,823","60,116","WATSON LAKE A","2101202","YT","-19,0","0","ND","-8,5","0","-41,0","0","","","ND","","","ND","","","","","ND","1147,9","0,0"
"-128,832","60,116","WATSON LAKE (AUT)","2101204","YT","-19,1","0","ND","-8,4","0","-41,3","0","","","ND","43,4","0","ND","48,0","4","","","ND","1150,1","0,0"
"-135,067","60,709","WHITEHORSE A","2101303","YT","-9,8","1","ND","6,6","1","-29,8","1","","","ND","","","ND","","","","","ND","832,7","0,0"
"-135,098","60,733","WHITEHORSE AUTO","2101310","YT","-9,9","1","ND","3,4","1","-29,4","1","","","ND","12,7","1","ND","39,0","2","","","ND","838,4","0,0"
