"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-71,197","46,837","BEAUPORT","7010565","QC","-5,2","0","ND","6,4","0","-15,8","0","","","ND","101,7","0","ND","","13","","","ND","720,7","0,0"
"-74,167","45,317","COTEAU DU LAC","7011947","QC","","","ND","9,4","0","-20,7","0","42,4","0","ND","87,2","0","ND","0,0","13","","","ND","",""
"-71,972","46,691","DESCHAMBAULT","7011983","QC","-7,2","0","ND","7,7","0","-21,5","0","","","ND","99,3","0","ND","","14","","","ND","779,8","0,0"
"-73,435","45,809","L'ASSOMPTION","7014160","QC","-5,9","0","ND","8,2","0","-21,3","0","","","ND","94,6","0","ND","","13","","","ND","740,6","0,0"
"-74,067","45,500","OKA","7015730","QC","","","","","","","","55,0","2","ND","108,0","2","ND","0,0","18","","","ND","",""
"-71,229","47,562","L'ETAPE","7015791","QC","-10,7","0","ND","6,7","0","-26,9","0","","","ND","85,1","0","ND","","16","","","ND","889,4","0,0"
"-71,393","46,791","QUEBEC INTL A","7016293","QC","-6,5","2","ND","6,2","2","-19,0","2","","","ND","","","ND","","","","","ND","710,3","0,0"
"-71,833","46,983","RIVIERE VERTE OUEST","7016675","QC","","","","8,6","0","-23,9","0","","","ND","","","ND","","","","","ND","",""
"-72,083","46,717","ST ALBAN","7016800","QC","","","","6,8","0","-22,4","0","","","ND","","","ND","","","","","ND","",""
"-72,233","46,583","STE ANNE DE LA PERADE","7016840","QC","","","","","","","","30,9","4","ND","77,9","4","ND","0,0","12","","","ND","",""
"-73,350","46,350","ST CHARLES DE MANDEVILLE","7016960","QC","","","","6,6","0","-23,8","0","","","ND","","","ND","","","","","ND","",""
"-71,917","46,817","STE CHRISTINE","7017000","QC","","","ND","7,7","0","-22,5","0","40,4","0","ND","114,6","1","ND","","15","","","ND","",""
"-72,733","46,563","SHAWINIGAN","7018001","QC","-7,2","0","ND","6,9","0","-20,4","0","","","ND","18,4","29","ND","","2","","","ND","782,6","0,0"
"-72,667","46,350","TROIS RIVIERES A-2","7018560","QC","","","ND","","","","","15,0","19","ND","25,2","19","ND","","5","","","ND","",""
"-72,681","46,352","TROIS RIVIERES A","7018561","QC","-7,3","0","ND","7,0","0","-21,8","0","","","ND","67,1","0","ND","","12","","","ND","784,2","0,0"
"-72,516","46,354","TROIS-RIVIERES","7018562","QC","-5,0","0","ND","7,0","0","-15,8","0","","","ND","","","ND","","","","","ND","713,8","0,0"
"-72,683","46,367","TROIS-RIVIERES","7018563","QC","-7,3","0","ND","7,0","0","-22,0","0","","","ND","69,2","0","ND","0,0","11","","","ND","784,8","0,0"
"-72,917","46,183","LAC SAINT-PIERRE","701LP0N","QC","-4,8","0","ND","8,9","0","-16,2","0","","","ND","","","ND","","","","","ND","706,6","0,0"
"-71,288","46,780","STE-FOY (U. LAVAL)","701Q004","QC","-5,9","0","ND","7,2","0","-16,9","0","","","ND","104,9","0","ND","0,0","14","","","ND","739,9","0,0"
"-72,061","46,304","LEMIEUX","701Q009","QC","-7,1","2","ND","11,1","2","-25,3","2","","","ND","46,4","3","ND","","12","","","ND","728,3","0,0"
"-71,382","46,804","QUEBEC/JEAN LESAGE INTL","701S001","QC","-6,9","0","ND","5,7","0","-21,1","0","","","ND","106,5","0","ND","1,0","13","","","ND","770,9","0,0"
"-73,000","45,800","FLEURY","7022375","QC","","","","9,9","18","-21,2","17","35,4","2","ND","35,4","8","ND","0,0","6","","","ND","",""
"-72,850","45,033","FRELIGHSBURG","7022579","QC","-3,7","3","ND","12,7","3","-19,6","3","","","ND","95,7","3","ND","","18","","","ND","608,8","0,0"
"-72,774","45,373","GRANBY","7022802","QC","-4,2","0","ND","14,1","0","-21,2","0","","","ND","14,8","29","ND","","2","","","ND","688,6","0,0"
"-70,933","45,606","NANTES","7023681","QC","-6,6","0","ND","8,7","0","-22,3","0","","","ND","89,8","0","ND","","12","","","ND","762,9","0,0"
"-73,433","45,383","LAPRAIRIE","7024100","QC","","","ND","10,9","0","-24,8","0","28,5","4","ND","81,2","5","ND","0,0","10","","","ND","",""
"-71,824","45,369","LENNOXVILLE","7024280","QC","-5,6","0","ND","12,4","0","-23,4","0","","","ND","90,2","0","ND","","15","","","ND","730,2","0,0"
"-73,133","45,400","MARIEVILLE","7024627","QC","","","","10,5","3","-22,3","2","41,0","2","ND","88,2","4","ND","","9","","","ND","",""
"-73,579","45,505","MCTAVISH","7024745","QC","-3,8","1","ND","10,6","1","-16,4","1","","","ND","110,0","1","ND","1,0","13","","","ND","655,1","0,0"
"-73,741","45,471","MONTREAL INTL A","7025251","QC","-4,4","0","ND","11,2","0","-17,8","0","37,8","0","ND","94,0","0","ND","","13","","","ND","695,2","0,0"
"-72,657","46,226","NICOLET","7025442","QC","-5,7","0","ND","10,6","0","-20,5","0","","","ND","64,4","0","ND","","11","","","ND","734,8","0,0"
"-72,833","46,083","PIERREVILLE","7026043","QC","","","","11,7","0","-22,2","0","27,6","1","ND","74,8","1","ND","0,0","10","","","ND","",""
"-73,500","45,700","RIVIERE DES PRAIRIES","7026612","QC","","","","9,0","0","-18,8","0","32,1","0","76,0","70,9","2","ND","","8","","","ND","",""
"-74,350","45,133","ST ANICET","7026836","QC","","","","9,0","0","-20,0","0","41,7","0","115,0","93,0","1","ND","0,0","14","","","ND","",""
