"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-82,432","52,928","ATTAWAPISKAT A","6010400","ON","10,6","0","ND","30,4","0","-1,7","0","","","ND","62,5","0","ND","","11","","","ND","230,4","7,3"
"-89,897","53,818","BIG TROUT LAKE A","6010735","ON","11,4","0","ND","28,1","0","-2,1","0","","","ND","48,0","0","ND","","11","","","ND","200,4","2,2"
"-89,892","53,816","BIG TROUT LAKE","6010740","ON","11,5","0","ND","28,3","0","-1,6","0","","","ND","45,6","0","ND","","10","","","ND","196,8","2,5"
"-93,221","50,631","EAR FALLS (AUT)","6012199","ON","14,5","0","ND","29,5","0","1,3","0","","","ND","32,7","0","ND","","9","","","ND","117,1","13,4"
"-87,676","56,019","FORT SEVERN A","6012501","ON","10,1","2","ND","29,0","2","0,2","2","","","ND","43,5","2","ND","","10","","","ND","223,4","2,1"
"-87,934","52,196","LANSDOWNE HOUSE A","6014351","ON","12,5","0","ND","30,4","0","-0,4","0","","","ND","72,5","0","ND","","9","","","ND","177,2","12,9"
"-87,936","52,196","LANSDOWNE HOUSE (AUT)","6014353","ON","12,4","2","ND","30,5","2","-1,2","2","","","ND","64,7","2","ND","","8","","","ND","169,1","12,5"
"-91,763","53,441","MUSKRAT DAM","6015026","ON","12,4","2","ND","30,7","2","1,9","2","","","ND","60,0","2","ND","","11","","","ND","162,3","4,7"
"-85,443","54,988","PEAWANUCK A","6016298","ON","9,7","0","ND","29,9","0","-0,8","0","","","ND","69,2","0","ND","","13","","","ND","254,9","6,1"
"-90,218","51,449","PICKLE LAKE (AUT)","6016525","ON","13,8","0","ND","29,7","0","1,9","0","","","ND","25,0","0","ND","","6","","","ND","141,0","15,7"
"-90,214","51,446","PICKLE LAKE A","6016528","ON","13,8","0","ND","29,7","0","1,9","0","","","ND","0,0","0","ND","","0","","","ND","141,0","16,2"
"-93,793","51,067","RED LAKE A","6016971","ON","14,7","2","ND","29,2","2","0,9","2","","","ND","","","ND","","","","","ND","103,7","10,9"
"-93,344","53,064","SANDY LAKE A","6017401","ON","13,0","0","ND","31,4","0","1,5","0","","","ND","0,0","0","ND","","0","","","ND","157,4","6,0"
"-91,316","52,944","WEAGAMOW LAKE","6019400","ON","11,0","6","ND","28,0","6","0,1","6","","","ND","55,1","6","ND","","7","","","ND","169,2","0,9"
"-93,967","48,633","BARWICK","6020559","ON","15,8","0","3,2","29,0","0","0,0","0","0,0","0","0,0","54,6","0","72,0","0,0","8","","","ND","85,7","20,1"
