"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-124,052","48,829","LAKE COWICHAN","1012055","BC","2,2","14","-1,9","12,5","10","-9,0","9","36,0","9","ND","216,2","9","ND","0,0","10","","","ND","221,5","0,0"
"-123,226","48,425","DISCOVERY ISLAND","1012475","BC","5,1","1","ND","11,8","1","-1,7","1","","","ND","","","ND","","","","","ND","347,9","0,0"
"-123,439","48,432","ESQUIMALT HARBOUR","1012710","BC","4,4","2","ND","12,1","2","-2,5","2","","","ND","45,2","13","ND","","8","","","ND","353,3","0,0"
"-123,530","48,575","MALAHAT","1014820","BC","1,8","0","ND","13,4","0","-8,3","0","","","ND","99,2","14","ND","","10","","","ND","452,9","0,0"
"-123,561","48,374","METCHOSIN","1015105","BC","","","ND","","","","","9,0","9","ND","47,4","9","ND","","7","","","ND","",""
"-123,718","48,824","NORTH COWICHAN","1015628","BC","","","ND","","","","","26,2","0","268,0","113,8","0","91,0","0,0","12","","","ND","",""
"-123,719","48,824","NORTH COWICHAN","1015630","BC","3,0","0","ND","15,1","0","-11,0","0","","","ND","95,6","0","ND","0,0","13","","","ND","420,5","0,0"
"-123,287","48,764","NORTH PENDER ISLAND","1015638","BC","3,8","0","ND","14,5","0","-4,5","0","8,0","0","ND","86,2","0","ND","0,0","11","","","ND","396,4","0,0"
"-123,531","48,298","RACE ROCKS","1016640","BC","4,9","0","ND","11,8","0","-2,4","0","","","ND","","","ND","","","","","ND","366,9","0,0"
"-123,419","48,622","SAANICHTON CFIA","1016943","BC","4,0","0","ND","13,7","0","-4,1","0","","","ND","90,8","0","ND","0,0","13","","","ND","391,6","0,0"
"-123,427","48,598","SAANICHTON MT NEWTON","1016RM0","BC","","","ND","","","","","20,6","0","367,0","119,8","0","128,0","0,0","14","","","ND","",""
"-123,128","48,775","SATURNA CAPMON CS","1017099","BC","3,2","1","ND","12,8","1","-5,3","1","","","ND","69,0","1","ND","","13","","","ND","399,6","0,0"
"-123,045","48,784","SATURNA ISLAND CS","1017101","BC","5,0","1","ND","12,5","1","-3,1","1","","","ND","40,0","8","ND","","9","","","ND","350,5","0,0"
"-123,921","48,377","SHERINGHAM POINT","1017254","BC","5,1","0","ND","13,2","0","-2,8","0","","","ND","68,8","9","ND","","9","","","ND","361,4","0,0"
"-123,305","48,457","VICTORIA UNIVERSITY CS","1018598","BC","4,1","0","ND","14,0","0","-4,4","0","","","ND","56,4","0","ND","","11","","","ND","390,0","0,0"
"-123,325","48,413","VICTORIA GONZALES CS","1018611","BC","4,5","0","ND","14,5","0","-3,5","0","","","ND","35,0","11","ND","","7","","","ND","378,9","0,0"
"-123,426","48,647","VICTORIA INTL A","1018621","BC","3,5","0","ND","14,2","0","-6,1","0","17,0","0","ND","88,7","0","ND","","11","","","ND","404,8","0,0"
"-123,388","48,423","VICTORIA HARBOUR A","1018633","BC","4,6","0","ND","13,2","0","-3,0","0","","","ND","","","ND","","","","","ND","374,5","0,0"
"-125,273","49,952","CAMPBELL RIVER A","1021261","BC","0,4","0","-2,9","12,0","0","-14,5","0","22,6","0","157,0","165,8","0","111,0","0,0","11","","","ND","493,8","0,0"
"-125,273","49,952","CAMPBELL RIVER A","1021270","BC","0,2","0","ND","11,8","0","-14,4","0","","","ND","","","ND","","","","","ND","497,8","0,0"
"-125,195","49,998","CAPE MUDGE","1021330","BC","3,6","0","-0,9","12,0","0","-5,5","0","22,0","0","345,0","169,2","0","120,0","0,0","14","","","ND","402,1","0,0"
"-124,900","49,717","COMOX A","1021830","BC","2,7","0","-1,6","11,7","0","-7,4","0","14,7","0","246,0","109,7","0","96,0","","12","","","ND","427,4","0,0"
"-124,999","49,763","COURTENAY GRANTHAM","1021988","BC","2,0","8","ND","12,0","8","-8,5","8","0,0","8","ND","96,4","8","ND","","7","","","ND","319,4","0,0"
"-125,033","49,686","COURTENAY PUNTLEDGE","1021989","BC","1,0","4","ND","13,0","2","-10,0","2","13,6","2","ND","175,2","2","ND","","13","","","ND","407,6","0,0"
"-123,811","49,209","ENTRANCE ISLAND","1022689","BC","4,9","1","ND","13,3","1","-2,6","1","","","ND","47,2","8","ND","","8","","","ND","353,1","0,0"
"-125,993","50,454","FANNY ISLAND","1022795","BC","3,8","0","ND","11,9","0","-5,9","0","","","ND","92,0","10","ND","","10","","","ND","398,6","0,0"
"-124,512","49,353","LITTLE QUALICUM HATCHERY","1024638","BC","1,7","5","-2,0","13,0","5","-12,0","5","22,4","5","ND","94,8","5","ND","","11","","","ND","374,0","0,0"
"-123,870","49,054","NANAIMO A","1025365","BC","2,4","0","ND","14,8","0","-10,1","0","","","ND","","","ND","","","","","ND","436,2","0,0"
"-123,988","49,199","NANAIMO CITY YARD","10253G0","BC","","","ND","","","","","0,0","0","0,0","117,8","0","103,0","0,0","10","","","ND","",""
"-127,367","50,681","PORT HARDY A","1026271","BC","2,2","0","ND","11,7","0","-10,1","0","21,8","0","ND","56,3","0","ND","","9","","","ND","443,5","0,0"
"-127,377","50,684","PORT HARDY AIRPORT","1026273","BC","2,6","1","ND","11,8","1","-8,9","1","","","ND","57,6","1","ND","","8","","","ND","414,9","0,0"
"-124,394","49,337","QUALICUM BEACH AIRPORT","1026562","BC","2,8","0","ND","12,6","0","-10,3","0","","","ND","62,8","0","ND","","12","","","ND","426,7","0,0"
"-124,617","49,394","QUALICUM R FISH RESEARCH","1026565","BC","2,9","2","-1,3","13,5","2","-8,0","2","11,2","2","ND","82,0","2","ND","0,0","14","","","ND","393,3","0,0"
"-125,304","50,016","QUINSAM RIVER HATCHERY","1026639","BC","1,7","0","-2,1","12,0","0","-11,0","0","26,0","0","258,0","206,8","0","129,0","0,0","15","","","ND","457,3","0,0"
"-124,435","49,487","SISTERS ISLAND","1027403","BC","5,2","0","ND","12,0","0","-2,5","0","","","ND","","","ND","","","","","ND","358,0","0,0"
