"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-65,472","43,451","BACCARO PT","8200255","NS","3,8","2","ND","12,6","2","-7,2","2","","","ND","86,2","2","ND","","11","","","ND","412,1","0,0"
"-62,333","44,817","BEAVER ISLAND (AUT)","8200558","NS","2,1","0","ND","10,9","0","-6,1","0","","","ND","","","ND","","","","","ND","493,9","0,0"
"-63,634","44,708","BEDFORD BASIN","8200573","NS","1,0","19","ND","15,0","18","-6,7","19","","","ND","","","ND","","","","","ND","204,3","0,0"
"-63,662","44,746","BEDFORD RANGE","8200574","NS","0,9","0","ND","16,0","0","-10,0","0","","","ND","69,8","24","ND","0,0","6","","","ND","530,1","0,0"
"-66,347","44,286","BRIER ISLAND","8200604","NS","3,3","0","ND","14,6","0","-6,2","0","","","ND","83,4","0","ND","","12","","","ND","455,1","0,0"
"-62,683","45,767","CARIBOU POINT (AUT)","8200774","NS","1,5","0","ND","16,5","0","-7,8","0","","","ND","118,2","0","ND","","12","","","ND","511,1","0,0"
"-60,955","46,651","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","NS","1,8","0","ND","18,5","0","-8,1","0","","","ND","162,9","0","ND","4,0","16","","","ND","501,4","0,0"
"-62,015","45,491","COLLEGEVILLE AUTO","8201001","NS","-0,1","0","ND","15,3","0","-11,1","0","","","ND","249,9","0","ND","13,0","16","","","ND","560,7","0,0"
"-63,467","45,417","DEBERT","8201390","NS","-0,3","0","ND","17,0","0","-13,8","0","","","ND","107,7","0","ND","4,0","11","","","ND","567,7","0,0"
"-60,647","45,921","ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","8201780","NS","2,1","0","ND","12,8","0","-5,4","0","","","ND","230,3","0","ND","9,0","12","","","ND","492,5","0,0"
"-61,050","46,550","GRAND ETANG","8201969","NS","2,4","0","ND","17,8","0","-4,6","0","","","ND","","","ND","","","","","ND","485,0","0,0"
"-64,917","44,983","GREENWOOD A","8202000","NS","1,0","0","2,9","18,0","0","-11,5","0","18,7","0","30,0","100,8","0","89,0","0,0","10","","","ND","527,4","0,0"
"-63,577","44,655","HALIFAX DOCKYARD","8202240","NS","2,4","0","ND","15,4","0","-6,3","0","","","ND","","","ND","","","","","ND","484,4","0,0"
"-63,509","44,881","HALIFAX STANFIELD INT'L A","8202249","NS","0,5","0","ND","15,3","0","-9,7","0","","","ND","","","ND","","","","","ND","542,1","0,0"
"-63,509","44,881","HALIFAX STANFIELD INT'L A","8202251","NS","0,5","0","ND","15,3","0","-9,7","0","38,0","0","ND","138,7","0","ND","4,0","13","","","ND","542,1","0,0"
"-63,551","44,588","HALIFAX KOOTENAY","8202252","NS","1,4","0","ND","13,7","0","-9,2","0","","","ND","94,8","21","ND","","8","","","ND","514,1","0,0"
"-63,609","44,657","HALIFAX WINDSOR PARK","8202255","NS","1,3","0","ND","14,6","0","-7,9","0","","","ND","59,4","23","ND","2,0","6","","","ND","517,1","0,0"
"-60,983","45,350","HART ISLAND (AUT)","8202318","NS","2,8","0","ND","13,2","0","-5,7","0","","","ND","","","ND","","","","","ND","471,6","0,0"
"-60,406","46,663","INGONISH BEACH RCS","8202502","NS","1,7","0","ND","16,9","0","-6,9","0","","","ND","236,6","0","ND","4,0","14","","","ND","506,5","0,0"
"-65,203","44,403","KEJIMKUJIK 1","8202592","NS","0,7","0","ND","15,2","0","-11,1","0","","","ND","122,4","1","ND","0,0","10","","","ND","535,1","0,0"
"-64,483","45,067","KENTVILLE CDA CS","8202810","NS","1,1","0","ND","16,8","0","-10,8","0","","","ND","116,3","0","ND","","11","","","ND","522,7","0,0"
"-63,483","44,717","LAKE MAJOR","8202896","NS","","","ND","","","","","20,0","7","ND","114,6","7","ND","3,0","11","","","ND","",""
