"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-140,869","62,410","BEAVER CREEK A","2100155","YT","6,9","2","ND","18,7","2","-6,2","2","","","ND","","","ND","","","","","ND","322,4","0,0"
"-139,040","61,371","BURWASH A","2100181","YT","5,6","3","ND","17,6","3","-9,8","3","","","ND","15,1","3","ND","","4","","","ND","347,1","0,0"
"-139,017","61,367","BURWASH AIRPORT AUTO","2100184","YT","5,2","0","ND","17,7","0","-10,1","0","","","ND","18,7","0","ND","","4","","","ND","395,6","0,0"
"-136,192","62,115","CARMACKS CS","2100301","YT","8,2","0","ND","22,3","0","-4,7","0","","","ND","11,1","0","ND","0,0","3","","","ND","304,6","0,0"
"-139,130","64,042","DAWSON CITY A","2100407","YT","9,4","2","ND","21,3","2","-3,8","2","","","ND","","","ND","","","","","ND","250,0","0,0"
"-133,376","62,208","FARO (AUT)","2100518","YT","8,3","0","ND","19,8","0","-2,4","0","","","ND","20,4","9","ND","","5","","","ND","300,2","0,0"
"-133,373","62,207","FARO A","2100527","YT","8,3","2","ND","19,5","2","-2,6","2","","","ND","","","ND","","","","","ND","280,0","0,0"
"-137,580","60,773","HAINES JUNCTION","2100630","YT","5,1","1","ND","17,3","1","-5,7","1","","","ND","","","ND","","","","","ND","385,7","0,0"
"-140,150","69,164","IVVAVIK NAT. PARK","2100660","YT","-0,9","3","ND","15,4","3","-19,6","3","","","ND","18,4","3","ND","1,0","3","","","ND","528,9","0,0"
"-140,197","69,612","KOMAKUK BEACH","2100682","YT","-5,1","1","ND","1,7","1","-17,2","1","","","ND","","","ND","","","","","ND","692,0","0,0"
"-130,037","63,244","MACMILLAN PASS","2100693","YT","2,9","3","ND","12,3","3","-5,9","3","","","ND","30,2","3","ND","","10","","","ND","421,6","0,0"
"-140,848","68,801","MARGARET LAKE","2100697","YT","-0,2","3","ND","15,7","3","-22,3","3","","","ND","0,0","30","ND","1,0","0","","","ND","510,2","0,0"
"-135,868","63,616","MAYO A","2100701","YT","9,0","2","ND","19,6","2","-2,7","2","0,0","0","ND","29,9","0","ND","","9","","","ND","261,3","0,0"
"-135,869","63,617","MAYO A","2100702","YT","9,3","2","ND","19,6","2","-2,7","2","","","ND","","","ND","","","","","ND","253,2","0,0"
"-139,839","67,571","OLD CROW RCS","2100805","YT","2,0","0","ND","17,4","0","-20,9","0","","","ND","18,1","0","ND","","4","","","ND","497,3","0,0"
"-139,840","67,570","OLD CROW A","2100807","YT","1,9","0","ND","17,6","0","-21,1","0","","","ND","","","ND","","","","","ND","497,6","0,0"
"-137,050","61,033","OTTER FALLS NCPC","2100840","YT","6,6","3","0,7","17,0","3","-4,0","3","0,0","3","ND","0,0","3","ND","0,0","0","","","ND","318,3","0,0"
"-137,367","62,817","PELLY RANCH FORT SELKIRK","2100881","YT","9,6","2","ND","21,1","2","-3,4","2","","","ND","59,2","4","ND","0,0","19","","","ND","243,6","0,0"
"-136,218","66,981","ROCK RIVER","2100935","YT","2,2","5","ND","16,9","5","-14,8","5","","","ND","1,8","23","ND","","1","","","ND","411,0","0,0"
"-139,127","64,061","DAWSON","2100LRP","YT","9,3","0","ND","21,5","0","-3,7","0","","","ND","59,1","0","ND","","8","","","ND","270,7","0,0"
"-132,733","60,167","TESLIN (AUT)","2101102","YT","5,8","0","ND","17,4","0","-4,3","0","","","ND","28,2","0","ND","","6","","","ND","377,4","0,0"
"-132,742","60,173","TESLIN A","2101106","YT","6,0","2","ND","17,4","2","-3,9","2","","","ND","","","ND","","","","","ND","347,4","0,0"
"-128,823","60,116","WATSON LAKE A","2101201","YT","7,6","0","ND","18,2","0","-3,2","0","","","ND","","","ND","","","","","ND","321,3","0,0"
"-128,823","60,116","WATSON LAKE A","2101202","YT","7,7","2","ND","18,2","2","-3,2","2","","","ND","","","ND","","","","","ND","299,6","0,0"
"-128,832","60,116","WATSON LAKE (AUT)","2101204","YT","7,8","0","ND","18,5","0","-3,1","0","","","ND","43,5","0","ND","","9","","","ND","317,6","0,0"
"-135,067","60,709","WHITEHORSE A","2101303","YT","7,0","0","ND","17,2","0","-2,6","0","","","ND","","","ND","","","","","ND","340,1","0,0"
"-135,098","60,733","WHITEHORSE AUTO","2101310","YT","6,8","0","ND","17,1","0","-3,1","0","","","ND","24,3","0","ND","","5","","","ND","345,8","0,0"
