"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-99,292","49,276","BALDUR","5010140","MB","-14,3","0","-2,0","11,5","0","-36,0","0","1,0","0","5,0","1,0","0","5,0","0,0","1","","","ND","904,5","0,0"
"-99,952","49,910","BRANDON MUNI A","5010481","MB","-18,8","0","ND","3,7","0","-37,5","0","11,0","0","ND","10,8","0","ND","6,0","3","","","ND","1029,0","0,0"
"-99,950","49,900","BRANDON RCS","5010490","MB","-18,2","0","ND","3,8","0","-37,1","0","","","ND","4,7","0","ND","19,0","2","","","ND","1014,1","0,0"
"-99,357","49,906","CARBERRY CS","5010547","MB","-17,9","0","ND","5,1","0","-39,8","0","","","ND","3,3","0","ND","32,0","1","","","ND","1005,2","0,0"
"-99,074","49,562","CYPRESS RIVER RCS","5010641","MB","-17,4","0","ND","4,9","0","-37,6","0","","","ND","3,2","0","ND","42,0","2","","","ND","990,7","0,0"
"-101,203","49,927","ELKHORN 2 EAST","5010QFQ","MB","-17,3","0","-5,2","6,0","0","-36,5","0","16,2","0","110,0","16,2","0","104,0","13,0","3","","","ND","987,5","0,0"
"-98,300","49,983","PORTAGE ROMANCE","5012300","MB","","","ND","","","","","4,8","0","ND","4,8","0","ND","17,0","1","","","ND","",""
"-98,276","49,958","PORTAGE LA PRAIRIE CDA","5012321","MB","","","ND","","","","","3,0","4","ND","3,0","4","ND","24,0","2","","","ND","",""
"-98,284","49,903","PORTAGE SOUTHPORT","5012324","MB","-15,3","0","ND","5,9","0","-31,2","0","","","ND","4,5","0","ND","11,0","1","","","ND","931,2","0,0"
"-101,363","51,183","ROBLIN","5012469","MB","-20,6","1","ND","3,6","1","-42,3","1","","","ND","13,2","1","ND","39,0","2","","","ND","1042,1","0,0"
"-100,604","50,455","SHOAL LAKE CS","5012654","MB","-19,6","0","ND","3,9","0","-40,0","0","","","ND","7,9","0","ND","24,0","1","","","ND","1051,9","0,0"
"-100,934","49,842","VIRDEN WATER","5012961","MB","-17,2","0","ND","6,0","0","-38,0","0","2,0","0","ND","2,0","0","ND","15,0","2","","","ND","985,5","0,0"
"-99,942","50,655","WASAGAMING","5013117","MB","-18,5","0","-4,4","5,2","0","-39,8","0","","","ND","9,4","0","60,0","42,0","2","","","ND","1020,9","0,0"
"-100,986","49,281","MELITA","501A7AR","MB","-17,2","0","ND","5,3","0","-37,3","0","","","ND","3,6","0","ND","5,0","1","","","ND","984,4","0,0"
"-101,400","51,267","ROBLIN FRIESEN 3 NORTHWEST","501B4G2","MB","","","ND","","","","","13,0","0","ND","13,0","0","ND","40,0","2","","","ND","",""
"-100,179","50,108","RIVERS PETTAPIECE","501BMMA","MB","","","ND","","","","","7,0","0","51,0","7,0","0","49,0","0,0","3","","","ND","",""
"-98,319","49,400","DEERWOOD RCS","5020725","MB","-14,6","1","ND","4,9","1","-30,3","1","","","ND","1,3","1","ND","10,0","0","","","ND","880,3","0,0"
"-97,238","49,000","EMERSON AUTO","5020881","MB","-15,2","0","ND","4,4","0","-31,4","0","","","ND","2,5","0","ND","5,0","1","","","ND","929,4","0,0"
"-97,560","49,031","GRETNA (AUT)","5021220","MB","-15,2","0","ND","5,3","0","-31,1","0","","","ND","0,7","0","ND","3,0","0","","","ND","928,3","0,0"
"-98,875","49,606","HOLLAND","5021302","MB","","","ND","","","","","3,2","5","ND","3,2","5","ND","","1","","","ND","",""
"-96,901","49,518","KLEEFELD (MAFRI)","5021500","MB","-15,9","0","ND","4,5","0","-31,7","0","","","ND","5,1","0","ND","2,0","2","","","ND","950,2","0,0"
"-97,807","50,013","MARQUETTE","5021695","MB","-16,6","16","-4,1","4,0","16","-30,5","16","0,0","16","ND","0,0","16","ND","19,0","0","","","ND","415,6","0,0"
"-98,084","49,188","MORDEN CDA CS","5021849","MB","-14,2","0","ND","6,4","0","-29,5","0","","","ND","2,1","0","ND","","1","","","ND","902,7","0,0"
"-98,905","49,191","PILOT MOUND (AUT)","5022125","MB","-17,1","0","ND","4,1","0","-37,1","0","","","ND","1,1","0","ND","27,0","0","","","ND","983,2","0,0"
"-96,035","49,353","ST LABRE","5022575","MB","","","ND","","","","","20,0","0","84,0","21,6","0","87,0","0,0","6","","","ND","",""
