"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-94,072","61,094","ARVIAT A","2300427","NU","-28,0","0","ND","-5,7","0","-37,9","0","","","ND","25,4","0","ND","","2","","","ND","1427,1","0,0"
"-96,000","64,317","BAKER LAKE CLIMATE","2300501","NU","-29,1","0","ND","-15,1","0","-39,4","0","","","ND","1,2","0","ND","5,0","0","","","ND","1461,2","0,0"
"-96,078","64,299","BAKER LAKE A","2300503","NU","-30,0","10","ND","-16,0","10","-40,4","10","1,0","9","ND","1,0","9","ND","14,0","0","","","ND","1008,1","0,0"
"-96,078","64,299","BAKER LAKE A","2300504","NU","-28,8","0","ND","-14,9","0","-40,4","0","","","ND","","","ND","","","","","ND","1452,0","0,0"
"-108,015","66,838","BATHURST INLET","2300551","NU","-25,5","1","ND","-10,6","1","-38,0","0","","","ND","2,1","1","ND","14,0","1","","","ND","1304,2","0,0"
"-90,732","63,345","CHESTERFIELD INLET AIRPORT","2300708","NU","-27,9","0","ND","-16,0","0","-38,7","0","","","ND","0,4","0","ND","7,0","0","","","ND","1422,7","0,0"
"-90,731","63,347","CHESTERFIELD INLET A","2300710","NU","-28,3","1","ND","-16,3","1","-38,9","1","","","ND","","","ND","","","","","ND","1390,3","0,0"
"-115,144","67,817","KUGLUKTUK A","2300903","NU","-26,1","4","ND","-12,7","4","-38,1","4","17,6","3","ND","11,8","3","ND","21,0","5","","","ND","1191,4","0,0"
"-115,135","67,817","KUGLUKTUK CLIMATE","2300904","NU","-26,5","0","ND","-12,6","0","-37,9","0","","","ND","6,1","1","ND","5,0","0","","","ND","1379,5","0,0"
"-115,144","67,817","KUGLUKTUK A","2300905","NU","-26,7","0","ND","-12,7","0","-38,1","0","","","ND","","","ND","","","","","ND","1385,5","0,0"
"-83,359","64,193","CORAL HARBOUR A","2301002","NU","-26,1","10","ND","-10,9","10","-40,6","10","4,8","8","ND","3,8","8","ND","25,0","1","","","ND","925,4","0,0"
"-83,359","64,193","CORAL HARBOUR A","2301004","NU","-22,4","15","ND","-7,7","15","-40,6","15","","","ND","","","ND","","","","","ND","646,0","0,0"
"-83,350","64,183","CORAL HARBOUR RCS","2301010","NU","-23,1","0","ND","-0,8","0","-39,7","0","","","ND","3,7","2","ND","6,0","1","","","ND","1273,8","0,0"
"-100,884","61,132","ENNADAI LAKE (AUT)","2301102","NU","-29,9","3","ND","-20,0","3","-37,8","3","","","ND","2,2","3","ND","0,0","0","","","ND","1341,2","0,0"
"-94,067","61,100","ARVIAT CLIMATE","2301153","NU","-28,0","0","ND","-5,7","0","-38,1","0","","","ND","4,0","0","ND","17,0","1","","","ND","1427,4","0,0"
"-95,850","68,636","GJOA HAVEN A","2302337","NU","-27,9","0","ND","-11,5","0","-38,1","0","","","ND","1,3","0","ND","","0","","","ND","1424,2","0,0"
"-95,850","68,636","GJOA HAVEN CLIMATE","2302340","NU","-27,9","0","ND","-11,3","0","-38,2","0","","","ND","2,6","0","ND","41,0","0","","","ND","1422,9","0,0"
"-89,796","68,538","KUGAARUK CLIMATE","2303094","NU","-27,7","0","ND","-12,6","0","-37,8","0","","","ND","4,9","0","ND","2,0","0","","","ND","1415,5","0,0"
"-89,805","68,536","KUGAARUK A","2303095","NU","-27,8","0","ND","-12,5","0","-38,1","0","","","ND","","","ND","","","","","ND","1419,6","0,0"
"-92,115","62,811","RANKIN INLET A","2303405","NU","-29,0","1","ND","-16,0","1","-38,3","1","2,2","3","ND","2,2","2","ND","","1","","","ND","1411,3","0,0"
"-102,429","65,100","ROBERTSON LAKE (AUT)","2303610","NU","-26,0","30","ND","-20,3","30","-31,7","30","","","ND","0,0","29","ND","","0","","","ND","44,0","0,0"
"-79,250","56,537","SANIKILUAQ A","2303660","NU","-10,0","2","ND","-1,1","2","-19,4","2","","","ND","","","ND","","","","","ND","811,5","0,0"
"-79,260","56,537","SANIKILUAQ","2303668","NU","-10,1","2","ND","-1,2","2","-19,4","2","","","ND","24,8","4","ND","0,0","7","","","ND","814,7","0,0"
"-92,598","62,240","WHALE COVE A","2303990","NU","-28,2","13","ND","-11,0","13","-37,5","13","","","ND","","","ND","","","","","ND","832,2","0,0"
"-111,246","65,755","LUPIN CS","230N002","NU","-30,5","0","ND","-19,0","0","-38,8","0","","","ND","2,2","0","ND","","0","","","ND","1503,4","0,0"
"-62,333","82,500","ALERT CLIMATE","2400305","NU","-26,1","1","ND","-14,2","1","-37,6","1","","","ND","9,5","1","ND","","3","","","ND","1322,9","0,0"
"-62,333","82,500","ALERT UA","2400306","NU","","","ND","","","","","11,6","0","ND","6,8","0","ND","3,0","1","","","ND","",""
"-85,047","73,006","ARCTIC BAY","2400399","NU","-23,6","0","ND","-6,9","0","-34,3","0","","","ND","","","ND","","","","","ND","1289,7","0,0"
"-85,012","72,993","ARCTIC BAY CS","2400404","NU","-24,7","0","ND","-7,5","0","-35,5","0","","","ND","1,6","0","ND","","1","","","ND","1323,5","0,0"
