"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-94,072","61,094","ARVIAT A","2300427","NU","11,1","3","ND","26,0","3","4,6","3","","","ND","79,5","3","ND","","9","","","ND","193,9","1,8"
"-96,000","64,317","BAKER LAKE CLIMATE","2300501","NU","14,1","0","ND","26,1","0","3,9","0","","","ND","14,9","0","ND","","5","","","ND","120,7","1,3"
"-96,078","64,299","BAKER LAKE A","2300503","NU","14,5","5","ND","26,9","5","4,8","5","0,0","1","ND","15,3","1","ND","0,0","4","","","ND","94,7","2,5"
"-96,078","64,299","BAKER LAKE A","2300504","NU","14,4","0","ND","26,9","0","4,8","0","","","ND","","","ND","","","","","ND","113,6","2,5"
"-108,015","66,838","BATHURST INLET","2300551","NU","15,7","3","ND","27,6","3","7,1","3","","","ND","5,5","14","ND","","3","","","ND","74,9","11,0"
"-114,940","68,755","BERNARD HARBOUR","2300556","NU","15,3","0","ND","28,2","0","4,8","0","","","ND","","","ND","","","","","ND","92,1","7,3"
"-90,731","63,347","CHESTERFIELD INLET A","2300710","NU","11,3","0","ND","25,1","0","3,1","0","","","ND","","","ND","","","","","ND","209,6","1,7"
"-115,144","67,817","KUGLUKTUK A","2300903","NU","15,5","0","ND","27,4","0","4,9","0","0,0","0","ND","4,4","0","ND","","2","","","ND","85,3","6,8"
"-115,135","67,817","KUGLUKTUK CLIMATE","2300904","NU","15,5","0","ND","27,5","0","4,9","0","","","ND","4,3","0","ND","","2","","","ND","84,9","6,9"
"-115,144","67,817","KUGLUKTUK A","2300905","NU","15,3","4","ND","27,4","4","4,9","4","","","ND","","","ND","","","","","ND","79,4","5,8"
"-83,359","64,193","CORAL HARBOUR A","2301002","NU","9,9","13","ND","23,1","13","1,6","13","0,0","8","ND","20,9","8","ND","","3","","","ND","146,6","0,0"
"-83,359","64,193","CORAL HARBOUR A","2301004","NU","9,5","0","ND","23,1","0","1,6","0","","","ND","","","ND","","","","","ND","262,9","0,0"
"-83,350","64,183","CORAL HARBOUR RCS","2301010","NU","9,6","0","ND","23,0","0","2,1","0","","","ND","43,3","0","ND","","7","","","ND","259,1","0,0"
"-100,884","61,132","ENNADAI LAKE (AUT)","2301102","NU","16,0","0","ND","32,8","0","5,9","0","","","ND","43,0","0","ND","","7","","","ND","80,1","19,5"
"-94,067","61,100","ARVIAT CLIMATE","2301153","NU","11,4","0","ND","26,4","0","4,7","0","","","ND","65,8","0","ND","","9","","","ND","207,3","1,9"
"-95,850","68,636","GJOA HAVEN A","2302337","NU","10,0","3","ND","19,8","3","2,0","3","","","ND","8,9","1","ND","","4","","","ND","224,6","0,0"
"-95,850","68,636","GJOA HAVEN CLIMATE","2302340","NU","9,9","0","ND","20,3","0","1,5","0","","","ND","10,6","0","ND","","3","","","ND","251,6","0,0"
"-100,087","68,318","HAT ISLAND","2302370","NU","6,9","0","ND","17,4","0","-0,7","0","","","ND","","","ND","","","","","ND","343,7","0,0"
"-89,726","68,437","PELLY BAY","2303093","NU","11,5","21","ND","18,9","21","5,0","21","","","ND","","","ND","","","","","ND","65,2","0,0"
"-89,796","68,538","KUGAARUK CLIMATE","2303094","NU","9,4","0","ND","20,4","0","0,9","0","","","ND","14,0","0","ND","","3","","","ND","265,2","0,0"
"-89,805","68,536","KUGAARUK A","2303095","NU","9,4","0","ND","20,6","0","0,8","0","","","ND","","","ND","","","","","ND","266,8","0,0"
"-92,115","62,811","RANKIN INLET A","2303405","NU","12,3","1","ND","23,3","1","4,6","1","0,0","9","ND","10,6","9","ND","","2","","","ND","170,2","0,0"
