"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-71,197","46,837","BEAUPORT","7010565","QC","12,1","2","ND","27,0","2","-4,2","2","","","ND","65,5","12","ND","","7","","","ND","179,8","9,5"
"-74,167","45,317","COTEAU DU LAC","7011947","QC","","","ND","30,5","0","-2,4","0","2,0","0","ND","149,5","1","ND","0,0","12","","","ND","",""
"-71,972","46,691","DESCHAMBAULT","7011983","QC","10,2","0","ND","26,5","0","-7,1","0","","","ND","138,5","0","ND","","12","","","ND","242,8","2,5"
"-73,435","45,809","L'ASSOMPTION","7014160","QC","12,1","0","ND","28,8","0","-3,4","0","","","ND","178,5","1","ND","","11","","","ND","195,6","12,1"
"-74,050","45,300","LES CEDRES","7014290","QC","","","ND","30,5","0","-2,0","0","2,0","1","ND","142,4","1","ND","","11","","","ND","",""
"-73,017","46,267","LOUISEVILLE","7014332","QC","","","","26,3","0","-3,0","0","9,7","0","795,0","85,7","17","ND","0,0","8","","","ND","",""
"-74,067","45,500","OKA","7015730","QC","","","","28,8","0","-2,9","0","5,0","0","201,0","151,0","4","ND","0,0","15","","","ND","",""
"-71,229","47,562","L'ETAPE","7015791","QC","6,5","0","ND","24,3","0","-12,4","0","","","ND","114,9","0","ND","","14","","","ND","356,9","0,0"
"-71,393","46,791","QUEBEC INTL A","7016293","QC","10,4","2","ND","26,2","2","-5,9","2","","","ND","","","ND","","","","","ND","221,7","2,5"
"-74,367","45,500","RIGAUD","7016470","QC","","","","30,1","0","-4,1","0","4,0","0","476,0","132,4","0","135,0","0,0","14","","","ND","",""
"-72,083","46,717","ST ALBAN","7016800","QC","","","","26,9","0","-4,5","0","0,0","2","ND","30,2","17","ND","2,0","4","","","ND","",""
"-73,150","46,533","ST ALEXIS DES MONTS","7016816","QC","","","","29,2","0","-5,8","0","10,0","0","360,0","248,4","1","ND","0,0","14","","","ND","",""
