"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-65,472","43,451","BACCARO PT","8200255","NS","-0,6","0","ND","11,1","0","-19,7","0","","","ND","84,4","1","ND","","10","","","ND","522,1","0,0"
"-62,333","44,817","BEAVER ISLAND (AUT)","8200558","NS","-3,6","0","ND","10,3","0","-23,5","0","","","ND","","","ND","","","","","ND","605,3","0,0"
"-63,634","44,708","BEDFORD BASIN","8200573","NS","-3,2","0","ND","12,9","0","-21,7","0","","","ND","","","ND","","","","","ND","593,7","0,0"
"-63,662","44,746","BEDFORD RANGE","8200574","NS","-5,0","0","ND","14,4","0","-24,6","0","","","ND","","","ND","","","","","ND","644,7","0,0"
"-66,347","44,286","BRIER ISLAND","8200604","NS","-1,1","1","ND","10,6","1","-21,7","1","","","ND","42,4","1","ND","","8","","","ND","514,5","0,0"
"-62,683","45,767","CARIBOU POINT (AUT)","8200774","NS","-5,8","0","ND","10,1","0","-26,5","0","","","ND","52,7","1","ND","7,0","9","","","ND","667,0","0,0"
"-60,955","46,651","CHETICAMP HIGHLANDS NATIONAL PARK","8200828","NS","-5,4","2","ND","9,1","2","-22,8","2","","","ND","81,9","2","ND","5,0","10","","","ND","608,7","0,0"
"-62,015","45,491","COLLEGEVILLE AUTO","8201001","NS","-7,7","0","ND","11,7","0","-28,0","0","","","ND","69,3","0","ND","3,0","9","","","ND","719,6","0,0"
"-63,467","45,417","DEBERT","8201390","NS","-7,5","0","ND","9,0","0","-27,1","0","","","ND","46,4","0","ND","9,0","6","","","ND","714,4","0,0"
"-60,647","45,921","ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","8201780","NS","-4,9","0","ND","9,9","0","-23,7","0","","","ND","","","ND","0,0","","","","ND","642,4","0,0"
"-61,050","46,550","GRAND ETANG","8201969","NS","-4,7","0","ND","9,4","0","-19,9","0","","","ND","","","ND","","","","","ND","635,4","0,0"
"-64,917","44,983","GREENWOOD A","8202000","NS","-5,7","0","-0,8","11,0","0","-25,2","0","58,1","0","110,0","57,7","0","68,0","12,0","11","","","ND","662,4","0,0"
"-64,456","44,728","EMERGENCY WEATHER STATION #2","8202195","NS","-6,3","0","ND","12,8","0","-25,5","0","","","ND","63,3","0","ND","8,0","11","","","ND","680,2","0,0"
"-63,577","44,655","HALIFAX DOCKYARD","8202240","NS","-3,0","0","ND","14,6","0","-23,6","0","","","ND","","","ND","","","","","ND","586,7","0,0"
"-63,509","44,881","HALIFAX STANFIELD INT'L A","8202249","NS","-5,8","0","ND","11,8","0","-26,0","0","","","ND","","","ND","","","","","ND","665,3","0,0"
"-63,509","44,881","HALIFAX STANFIELD INT'L A","8202251","NS","-5,8","0","ND","11,8","0","-26,0","0","25,6","0","ND","68,1","0","ND","7,0","7","","","ND","665,3","0,0"
"-63,551","44,588","HALIFAX KOOTENAY","8202252","NS","-3,8","0","ND","14,8","0","-24,5","0","","","ND","36,4","26","ND","","1","","","ND","610,3","0,0"
"-63,609","44,657","HALIFAX WINDSOR PARK","8202255","NS","-4,0","0","ND","14,4","0","-24,9","0","","","ND","37,6","26","ND","2,0","1","","","ND","614,9","0,0"
"-60,983","45,350","HART ISLAND (AUT)","8202318","NS","-3,6","0","ND","9,5","0","-24,9","0","","","ND","","","ND","","","","","ND","603,4","0,0"
"-60,406","46,663","INGONISH BEACH RCS","8202502","NS","-5,6","0","ND","8,3","0","-23,0","0","","","ND","102,6","1","ND","15,0","13","","","ND","661,6","0,0"
"-65,203","44,403","KEJIMKUJIK 1","8202592","NS","-5,0","0","ND","13,6","0","-23,9","0","","","ND","78,6","0","ND","11,0","14","","","ND","643,4","0,0"
"-64,483","45,067","KENTVILLE CDA CS","8202810","NS","-5,6","0","ND","10,7","0","-25,5","0","","","ND","48,9","0","ND","11,0","7","","","ND","662,1","0,0"
"-63,483","44,717","LAKE MAJOR","8202896","NS","","","ND","","","","","24,6","7","ND","74,6","7","ND","2,0","7","","","ND","",""
"-59,971","45,921","LOUISBOURG","8203163","NS","-3,6","8","ND","9,8","8","-24,1","8","","","ND","96,1","8","ND","","9","","","ND","432,8","0,0"
"-64,296","44,360","LUNENBURG","8203210","NS","-2,6","0","ND","12,3","0","-22,0","0","","","ND","","","ND","","","","","ND","576,4","0,0"
"-62,483","44,983","MALAY FALLS","8203405","NS","-6,2","3","ND","8,3","3","-24,9","3","","","ND","73,9","4","ND","","8","","","ND","604,4","0,0"
"-63,533","44,600","MCNABS ISLAND (AUT)","8203478","NS","-2,7","0","ND","12,9","0","-22,6","0","","","ND","","","ND","","","","","ND","579,0","0,0"
"-64,241","45,760","NAPPAN AUTO","8203702","NS","-7,5","0","ND","9,6","0","-27,2","0","","","ND","39,5","0","ND","4,0","8","","","ND","714,2","0,0"
"-64,509","44,827","ALDERSVILLE","8204020","NS","-6,2","0","ND","11,2","0","-26,7","0","","","ND","60,6","0","ND","7,0","10","","","ND","677,4","0,0"
"-60,976","46,368","NORTHEAST MARGAREE (AUT)","8204154","NS","-6,6","0","ND","7,7","0","-24,7","0","","","ND","89,7","0","ND","19,0","16","","","ND","688,2","0,0"
"-60,672","46,817","NORTH MOUNTAIN CS","8204161","NS","-8,8","0","ND","5,3","0","-25,9","0","","","ND","41,4","17","ND","118,0","8","","","ND","749,0","0,0"
"-63,423","44,613","OSBORNE HEAD DND","8204190","NS","-4,0","0","ND","13,8","0","-24,2","0","","","ND","31,8","26","ND","","1","","","ND","614,9","0,0"
"-63,055","45,233","UPPER STEWIACKE RCS","8204193","NS","-6,0","11","ND","12,1","11","-26,4","11","","","ND","26,2","11","ND","","6","","","ND","408,3","0,0"
"-64,346","45,413","PARRSBORO","8204402","NS","-7,0","0","ND","10,1","0","-27,1","0","","","ND","44,3","0","ND","8,0","7","","","ND","701,1","0,0"
"-63,833","44,767","POCKWOCK LAKE","8204453","NS","-5,7","14","-0,5","8,5","14","-18,5","14","5,6","14","ND","31,8","14","ND","","5","","","ND","331,2","0,0"
"-61,368","45,657","PORT HAWKESBURY","8204495","NS","-6,1","0","ND","9,2","0","-27,4","0","","","ND","58,5","0","ND","","9","","","ND","674,1","0,0"
"-59,960","43,929","SABLE ISLAND A","8204703","NS","-0,1","0","ND","9,5","0","-14,7","0","","","ND","","","ND","","","","","ND","505,5","0,0"
"-60,008","43,931","SABLE ISLAND","8204708","NS","0,0","0","ND","9,5","0","-14,9","0","","","ND","129,9","0","ND","","14","","","ND","503,8","0,0"
"-60,144","47,233","ST PAUL ISLAND (AUT)","8204909","NS","-4,7","0","ND","7,7","0","-17,9","0","","","ND","","","ND","","","","","ND","635,0","0,0"
"-63,513","44,630","SHEARWATER RCS","8205092","NS","-3,5","0","ND","14,6","0","-23,9","0","","","ND","72,0","0","ND","1,0","8","","","ND","602,2","0,0"
"-63,523","44,628","SHEARWATER JETTY","8205093","NS","-3,0","0","ND","12,9","0","-22,2","0","","","ND","","","ND","","","","","ND","587,8","0,0"
"-65,317","43,700","SHELBURNE SANDY POINT","8205130","NS","-3,1","2","ND","14,6","2","-22,5","2","","","ND","77,0","2","ND","12,0","8","","","ND","549,6","0,0"
"-60,048","46,161","SYDNEY A","8205701","NS","-5,8","2","ND","7,5","2","-24,0","2","88,4","0","ND","100,4","0","ND","14,0","14","","","ND","617,9","0,0"
"-60,042","46,163","SYDNEY CS","8205702","NS","-5,2","1","ND","7,8","1","-22,0","1","","","ND","59,2","2","ND","8,0","10","","","ND","627,6","0,0"
"-60,048","46,161","SYDNEY A","8205703","NS","-5,9","0","ND","7,5","0","-24,0","0","","","ND","","","ND","","","","","ND","669,3","0,0"
"-61,680","45,608","TRACADIE","8205895","NS","-5,8","0","ND","10,1","0","-27,1","0","","","ND","41,6","0","ND","2,0","6","","","ND","665,1","0,0"
"-64,650","45,050","WATERVILLE CAMBRIDGE","8206222","NS","-4,7","0","0,2","11,0","0","-26,0","0","22,0","0","50,0","22,0","0","25,0","10,0","4","","","ND","634,8","0,0"
"-64,664","43,990","WESTERN HEAD","8206240","NS","-2,3","0","ND","16,2","0","-23,3","0","","","ND","99,0","0","ND","12,0","10","","","ND","569,6","0,0"
"-66,088","43,831","YARMOUTH RCS","8206491","NS","-1,8","0","ND","10,6","0","-21,7","0","","","ND","55,3","1","ND","4,0","10","","","ND","553,0","0,0"
"-66,088","43,827","YARMOUTH A","8206495","NS","-1,9","0","ND","10,8","0","-21,8","0","44,1","0","ND","68,5","0","ND","12,0","12","","","ND","556,7","0,0"
"-66,088","43,827","YARMOUTH A","8206496","NS","-1,9","0","ND","10,8","0","-21,8","0","","","ND","","","ND","","","","","ND","556,7","0,0"
