"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-82,432","52,928","ATTAWAPISKAT A","6010400","ON","12,5","0","ND","33,0","0","-1,5","0","","","ND","41,7","0","ND","","5","","","ND","174,3","10,6"
"-89,897","53,818","BIG TROUT LAKE A","6010735","ON","13,5","0","ND","26,9","0","-0,6","0","","","ND","11,2","0","ND","","4","","","ND","140,7","5,0"
"-89,892","53,816","BIG TROUT LAKE","6010740","ON","13,5","0","ND","27,1","0","-0,6","0","","","ND","10,5","0","ND","","4","","","ND","141,4","5,3"
"-93,221","50,631","EAR FALLS (AUT)","6012199","ON","14,3","0","ND","31,0","0","1,8","0","","","ND","37,4","0","ND","","6","","","ND","120,4","10,0"
"-87,676","56,019","FORT SEVERN A","6012501","ON","13,1","0","ND","29,1","0","0,2","0","","","ND","8,4","0","ND","","5","","","ND","155,6","8,2"
"-87,934","52,196","LANSDOWNE HOUSE A","6014351","ON","12,2","0","ND","28,6","0","-2,1","0","","","ND","25,3","0","ND","","5","","","ND","178,1","4,6"
"-87,936","52,196","LANSDOWNE HOUSE (AUT)","6014353","ON","12,1","0","ND","28,6","0","-2,7","0","","","ND","23,8","0","ND","","5","","","ND","181,9","4,6"
"-91,763","53,441","MUSKRAT DAM","6015026","ON","13,7","1","ND","28,3","1","-0,2","1","","","ND","28,2","4","ND","","3","","","ND","130,5","6,6"
"-85,433","54,983","PEAWANUCK (AUT)","6016295","ON","12,5","0","ND","28,1","0","-2,3","0","","","ND","26,1","0","ND","","6","","","ND","172,2","5,9"
"-85,443","54,988","PEAWANUCK A","6016298","ON","12,5","0","ND","28,2","0","-1,9","0","","","ND","29,1","0","ND","","7","","","ND","170,8","5,9"
"-90,218","51,449","PICKLE LAKE (AUT)","6016525","ON","13,5","0","ND","30,3","0","0,9","0","","","ND","47,3","0","ND","0,0","7","","","ND","142,8","6,9"
"-90,214","51,446","PICKLE LAKE A","6016528","ON","13,5","0","ND","30,3","0","0,8","0","","","ND","14,2","0","ND","","2","","","ND","141,2","7,1"
"-93,793","51,067","RED LAKE A","6016971","ON","13,9","0","ND","31,8","0","-0,9","0","","","ND","","","ND","","","","","ND","133,4","9,4"
"-93,344","53,064","SANDY LAKE A","6017401","ON","14,9","4","ND","29,1","4","-0,7","4","","","ND","23,5","4","ND","","6","","","ND","89,3","8,5"
"-91,316","52,944","WEAGAMOW LAKE","6019400","ON","13,7","1","ND","27,6","1","-1,1","1","","","ND","20,9","2","ND","","5","","","ND","130,6","6,6"
"-93,967","48,633","BARWICK","6020559","ON","16,2","0","3,6","33,5","0","0,5","0","0,0","0","0,0","72,2","0","95,0","0,0","7","","","ND","76,7","24,1"
"-91,628","48,761","ATIKOKAN (AUT)","6020LPQ","ON","15,1","0","ND","33,0","0","-1,2","0","","","ND","51,7","0","ND","","10","","","ND","111,4","24,6"
"-93,439","48,651","FORT FRANCES RCS","6022474","ON","14,2","0","ND","32,1","0","-3,1","0","","","ND","74,6","0","ND","","6","","","ND","129,1","14,5"
"-92,744","49,828","DRYDEN REGIONAL","6032125","ON","15,2","0","ND","30,9","0","3,4","0","","","ND","45,6","0","ND","","6","","","ND","103,2","18,9"
"-94,378","49,791","KENORA RCS","6034073","ON","15,9","0","ND","30,0","0","5,1","0","","","ND","31,7","0","ND","","7","","","ND","85,0","21,2"
"-94,363","49,788","KENORA A","6034076","ON","15,9","0","ND","30,0","0","5,1","0","0,0","0","ND","33,5","0","ND","","7","","","ND","83,8","21,8"
"-93,717","49,650","RAWSON LAKE","6036904","ON","13,2","0","0,9","24,8","0","2,5","0","0,0","0","0,0","22,5","0","25,0","0,0","3","","","ND","150,8","7,8"
"-93,733","49,664","RAWSON LAKE (AUT)","6036907","ON","15,3","1","ND","30,5","1","2,8","1","","","ND","55,6","1","ND","","7","","","ND","97,3","19,7"
"-94,763","49,469","ROYAL ISLAND (AUT)","6037201","ON","17,5","0","ND","31,2","0","8,9","0","","","ND","37,4","0","ND","","5","","","ND","43,9","28,3"
"-91,908","50,114","SIOUX LOOKOUT A","6037776","ON","14,0","0","ND","31,1","0","-2,0","0","0,0","0","ND","","","ND","","","","","ND","132,1","11,4"
"-91,906","50,114","SIOUX LOOKOUT AIRPORT","6037800","ON","14,4","0","ND","31,7","0","-0,7","0","","","ND","43,7","0","ND","","4","","","ND","122,3","15,1"
"-88,905","50,294","ARMSTRONG (AUT)","6040325","ON","12,5","1","ND","30,7","1","-3,4","1","","","ND","59,5","1","ND","","5","","","ND","169,3","9,2"
"-88,910","50,290","ARMSTRONG A","6040327","ON","12,7","0","ND","30,6","0","-2,3","0","","","ND","62,9","0","ND","","5","","","ND","170,1","10,4"
"-88,345","49,154","CAMERON FALLS (AUT)","6041110","ON","14,6","0","ND","31,8","0","1,4","0","","","ND","26,4","0","ND","","4","","","ND","117,1","16,3"
"-85,833","47,333","CARIBOU ISLAND (AUT)","6041222","ON","15,7","7","ND","21,7","7","9,5","7","","","ND","9,8","7","ND","","2","","","ND","54,1","1,5"
"-86,989","49,779","GERALDTON A","6042718","ON","13,3","0","ND","31,7","0","-2,2","0","","","ND","33,6","0","ND","","6","","","ND","156,5","14,8"
"-86,932","49,781","GERALDTON AIRPORT","6042719","ON","13,2","0","ND","31,6","0","-2,3","0","","","ND","29,3","0","ND","","6","","","ND","157,1","14,3"
"-89,267","48,467","HAZELWOOD","6043390","ON","","","ND","","","","","0,0","1","ND","35,2","1","ND","0,0","7","","","ND","",""
"-86,346","48,757","MARATHON A","6044967","ON","13,3","0","ND","27,9","0","-1,1","0","","","ND","","","ND","","","","","ND","151,1","10,8"
"-86,287","48,608","PUKASKWA (AUT)","6046768","ON","14,0","0","ND","28,1","0","0,2","0","","","ND","36,7","0","ND","","6","","","ND","130,4","11,1"
"-87,092","48,816","TERRACE BAY AIRPORT","6048232","ON","12,7","0","ND","26,5","0","-0,8","0","","","ND","40,0","0","ND","","5","","","ND","162,4","3,2"
"-89,322","48,372","THUNDER BAY","6048260","ON","15,1","1","ND","32,9","1","0,3","1","","","ND","36,9","1","ND","","6","","","ND","108,9","23,4"
"-89,322","48,372","THUNDER BAY A","6048262","ON","14,1","3","ND","32,9","3","0,3","3","","","ND","","","ND","","","","","ND","115,3","10,6"
"-89,327","48,369","THUNDER BAY CS","6048268","ON","14,9","2","ND","32,8","2","-0,6","2","","","ND","34,1","2","ND","","7","","","ND","109,8","22,6"
"-90,467","49,033","UPSALA (AUT)","6049095","ON","14,2","2","ND","32,3","2","-1,2","2","","","ND","22,0","2","ND","","5","","","ND","128,1","20,3"
"-89,119","48,369","WELCOME ISLAND (AUT)","6049443","ON","15,6","0","ND","25,6","0","8,2","0","","","ND","30,0","0","ND","","6","","","ND","85,6","12,5"
"-88,306","49,690","LITTLE FLATLAND ISLAND (AUT)","6049470","ON","15,3","0","ND","29,0","0","7,1","0","","","ND","28,6","0","ND","","3","","","ND","92,6","12,8"
"-84,814","47,723","LAKE SUPERIOR PROVINCIAL PARK","6054425","ON","13,7","1","ND","30,6","1","-0,7","1","","","ND","41,4","1","ND","","7","","","ND","140,8","15,5"
"-84,510","46,485","SAULT STE MARIE A","6057591","ON","14,6","2","ND","31,7","2","0,6","2","0,0","0","ND","20,5","0","ND","","4","","","ND","106,9","12,8"
"-84,517","46,478","SAULT STE. MARIE AIRPORT","6057593","ON","16,0","3","ND","32,0","3","3,3","3","","","ND","20,8","3","ND","","4","","","ND","75,1","19,9"
"-84,786","47,967","WAWA A","6059413","ON","14,1","4","ND","29,9","4","-0,4","4","","","ND","","","ND","","","","","ND","112,7","10,3"
"-83,347","47,820","CHAPLEAU A","6061365","ON","13,5","0","ND","31,9","0","-3,1","0","","","ND","","","ND","","","","","ND","155,5","19,5"
"-83,356","47,819","CHAPLEAU AIRPORT","6061366","ON","13,5","0","ND","32,3","0","-3,2","0","","","ND","49,0","0","ND","","5","","","ND","154,9","19,6"
"-82,025","46,193","MASSEY","6065006","ON","15,3","0","1,9","31,0","0","-0,5","0","0,0","0","ND","12,0","0","13,0","0,0","2","","","ND","101,4","18,9"
"-80,303","46,215","MONETVILLE 2","6065252","ON","15,5","0","ND","31,0","0","0,5","0","0,0","0","ND","50,8","0","ND","0,0","4","","","ND","93,2","18,9"
"-80,796","46,632","SUDBURY CLIMATE","6068145","ON","15,1","0","ND","30,8","0","1,0","0","","","ND","18,9","0","ND","","4","","","ND","106,4","20,2"
"-80,798","46,626","SUDBURY A","6068153","ON","15,6","6","ND","30,9","6","1,2","6","0,0","0","ND","22,4","0","ND","","4","","","ND","78,9","21,0"
"-82,124","49,383","BONNER LAKE","6070QK6","ON","13,6","0","ND","34,0","0","-2,0","0","0,0","0","ND","50,0","0","ND","0,0","7","","","ND","149,3","18,6"
"-79,849","47,695","EARLTON A","6072223","ON","14,0","1","ND","31,8","1","-0,6","1","","","ND","72,1","0","ND","","5","","","ND","138,5","21,7"
"-79,849","47,695","EARLTON CLIMATE","6072230","ON","14,3","0","ND","32,1","0","-0,2","0","","","ND","69,6","0","ND","","5","","","ND","134,0","23,3"
"-82,468","49,412","KAPUSKASING A","6073976","ON","13,5","0","ND","34,0","0","-2,2","0","0,0","0","ND","39,6","0","ND","","7","","","ND","155,6","19,5"
"-82,468","49,412","KAPUSKASING A","6073978","ON","13,5","0","ND","34,0","0","-2,2","0","","","ND","","","ND","","","","","ND","155,6","19,5"
"-82,444","49,406","KAPUSKASING CDA ON","6073980","ON","13,6","0","ND","34,2","0","-2,0","0","","","ND","39,1","0","ND","","6","","","ND","150,0","19,0"
"-80,061","48,088","KIRKLAND LAKE","6074207","ON","12,6","0","ND","32,4","0","-2,6","0","","","ND","104,0","0","ND","","6","","","ND","179,2","15,9"
"-80,608","51,291","MOOSONEE","6075420","ON","13,1","0","ND","35,1","0","-2,3","0","","","ND","25,5","0","ND","","3","","","ND","161,6","16,0"
"-80,664","51,257","MOOSONEE RCS","6075429","ON","12,9","2","ND","36,3","2","-2,8","2","","","ND","24,9","2","ND","","4","","","ND","157,6","14,8"
"-84,164","49,747","NAGAGAMI (AUT)","6075543","ON","13,2","0","ND","33,1","0","-2,3","0","","","ND","37,4","0","ND","","6","","","ND","163,7","19,1"
"-85,901","51,659","OGOKI POST A","6075786","ON","13,3","0","ND","33,2","0","-0,4","0","","","ND","24,3","0","ND","","6","","","ND","154,5","13,6"
"-85,900","51,658","OGOKI POST","6075788","ON","13,1","2","ND","30,4","2","-0,3","2","","","ND","10,4","3","ND","","5","","","ND","147,2","9,5"
"-81,390","48,557","TIMMINS CLIMATE","6078282","ON","13,2","0","ND","32,8","0","-1,6","0","","","ND","94,2","0","ND","","7","","","ND","163,3","19,2"
"-81,377","48,571","TIMMINS A","6078286","ON","13,6","3","ND","32,9","3","-2,1","3","0,0","1","ND","70,7","1","ND","","6","","","ND","137,1","19,2"
"-78,267","45,533","ALGONQUIN PARK EAST GATE","6080192","ON","13,7","0","ND","31,3","0","-1,0","0","","","ND","32,2","0","ND","","4","","","ND","147,2","19,0"
"-79,424","46,364","NORTH BAY A","6085680","ON","14,9","0","ND","30,4","0","0,3","0","","","ND","74,6","0","ND","","6","","","ND","113,4","20,3"
"-79,403","46,375","NORTH BAY AIRPORT","6085695","ON","15,2","0","ND","29,8","0","2,6","0","","","ND","70,6","0","ND","","6","","","ND","103,0","19,5"
"-82,567","45,882","GORE BAY-MANITOULIN","6092919","ON","15,7","2","ND","29,4","2","2,0","2","","","ND","3,5","3","ND","","1","","","ND","73,9","9,2"
