"Long","Lat","Nom","ID_Clim","Prov_ou_ter","Tm","JsTm","D","Tx","JsTx","Tn","JsTn","S","JsS","%NS","P","JsP","%NP","Sas","Pd","DIE","JsIE","%IE","DJC","DJR"
"-140,869","62,410","BEAVER CREEK A","2100155","YT","14,1","0","ND","27,6","0","0,9","0","","","ND","","","ND","","","","","ND","125,1","3,9"
"-139,040","61,371","BURWASH A","2100181","YT","13,3","0","ND","28,7","0","1,5","0","","","ND","37,4","0","ND","","6","","","ND","147,8","2,8"
"-139,017","61,367","BURWASH AIRPORT AUTO","2100184","YT","13,4","2","ND","28,8","2","1,0","2","","","ND","45,2","2","ND","","7","","","ND","135,4","2,7"
"-136,192","62,115","CARMACKS CS","2100301","YT","16,4","0","ND","31,2","0","2,0","0","","","ND","53,3","0","ND","","10","","","ND","66,9","18,0"
"-139,130","64,042","DAWSON CITY A","2100407","YT","16,7","2","ND","31,1","2","3,7","2","","","ND","","","ND","","","","","ND","52,1","14,1"
"-133,376","62,208","FARO (AUT)","2100518","YT","16,3","0","ND","29,0","0","4,2","0","","","ND","54,6","0","ND","","8","","","ND","64,3","12,7"
"-133,373","62,207","FARO A","2100527","YT","16,3","0","ND","29,1","0","4,0","0","","","ND","","","ND","","","","","ND","66,6","12,5"
"-137,580","60,773","HAINES JUNCTION","2100630","YT","13,5","3","ND","29,2","3","-0,6","3","","","ND","","","ND","","","","","ND","130,1","5,2"
"-140,150","69,164","IVVAVIK NAT. PARK","2100660","YT","12,8","4","ND","28,5","4","1,2","4","","","ND","57,0","4","ND","","10","","","ND","146,3","5,4"
"-140,197","69,612","KOMAKUK BEACH","2100682","YT","8,2","0","ND","24,8","0","-2,3","0","","","ND","","","ND","","","","","ND","303,3","0,5"
"-130,037","63,244","MACMILLAN PASS","2100693","YT","11,7","1","ND","24,7","1","1,6","1","","","ND","42,8","1","ND","0,0","12","","","ND","187,9","0,0"
"-140,848","68,801","MARGARET LAKE","2100697","YT","12,3","3","ND","26,0","3","0,3","3","","","ND","67,0","3","ND","","12","","","ND","159,8","0,3"
"-135,868","63,616","MAYO A","2100701","YT","17,0","0","ND","30,2","0","5,9","0","0,0","0","ND","32,6","0","ND","","8","","","ND","54,3","22,7"
"-135,869","63,617","MAYO A","2100702","YT","17,0","0","ND","30,2","0","5,9","0","","","ND","","","ND","","","","","ND","54,3","22,7"
"-139,839","67,571","OLD CROW RCS","2100805","YT","16,1","3","ND","29,6","3","5,5","3","","","ND","27,3","3","ND","","5","","","ND","64,3","12,1"
"-139,840","67,570","OLD CROW A","2100807","YT","15,3","0","ND","29,8","0","1,7","0","","","ND","","","ND","","","","","ND","94,5","12,0"
"-137,050","61,033","OTTER FALLS NCPC","2100840","YT","15,9","0","2,9","29,0","0","4,0","0","0,0","0","ND","23,6","0","43,0","0,0","6","","","ND","87,1","21,5"
"-137,367","62,817","PELLY RANCH FORT SELKIRK","2100881","YT","17,0","1","ND","32,1","1","2,4","1","","","ND","54,1","2","ND","","20","","","ND","51,3","20,6"
"-136,218","66,981","ROCK RIVER","2100935","YT","13,1","2","ND","26,4","2","1,8","2","","","ND","132,0","2","ND","","15","","","ND","151,3","10,2"
"-139,127","64,061","DAWSON","2100LRP","YT","16,6","2","ND","31,0","2","3,7","2","","","ND","23,3","2","ND","","7","","","ND","55,6","14,0"
"-132,733","60,167","TESLIN (AUT)","2101102","YT","14,6","0","ND","26,3","0","3,5","0","","","ND","80,3","0","ND","","9","","","ND","104,3","0,4"
"-132,742","60,173","TESLIN A","2101106","YT","14,8","1","ND","26,5","1","3,7","1","","","ND","","","ND","","","","","ND","97,7","0,7"
"-128,823","60,116","WATSON LAKE A","2101201","YT","17,3","1","ND","29,3","1","5,1","1","","","ND","","","ND","","","","","ND","36,7","16,8"
"-128,823","60,116","WATSON LAKE A","2101202","YT","17,5","3","ND","29,3","3","5,1","3","","","ND","","","ND","","","","","ND","30,9","15,8"
"-128,832","60,116","WATSON LAKE (AUT)","2101204","YT","17,4","0","ND","29,6","0","5,5","0","","","ND","66,2","0","ND","","7","","","ND","36,8","18,1"
"-135,067","60,709","WHITEHORSE A","2101303","YT","15,2","1","ND","29,5","1","4,2","1","","","ND","","","ND","","","","","ND","89,7","5,1"
"-135,098","60,733","WHITEHORSE AUTO","2101310","YT","14,8","2","ND","29,0","2","3,3","2","","","ND","25,0","2","ND","","8","","","ND","96,2","3,4"
